what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1365596279111
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1365596279111
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1365596279111
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1365596279111
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1365596279111
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1365596279111
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1365596279111
started,bundle,org.lejos.nxt.ldt,0.9.0.201202141552,"org.lejos.nxt.ldt",1365596279111
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1365596279111
os,sysinfo,,,"win32",1365596279127
arch,sysinfo,,,"x86",1365596279127
ws,sysinfo,,,"win32",1365596279127
locale,sysinfo,,,"en_US",1365596279127
processors,sysinfo,,,"4",1365596279127
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1365596279127
java.runtime.version,sysinfo,,,"1.7.0_05-b05",1365596279127
java.specification.name,sysinfo,,,"Java Platform API Specification",1365596279127
java.specification.vendor,sysinfo,,,"Oracle Corporation",1365596279127
java.specification.version,sysinfo,,,"1.7",1365596279127
java.vendor,sysinfo,,,"Oracle Corporation",1365596279127
java.version,sysinfo,,,"1.7.0_05",1365596279127
java.vm.info,sysinfo,,,"mixed mode, sharing",1365596279127
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1365596279127
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1365596279127
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1365596279127
java.vm.specification.version,sysinfo,,,"1.7",1365596279127
java.vm.vendor,sysinfo,,,"Oracle Corporation",1365596279127
java.vm.version,sysinfo,,,"23.1-b03",1365596279127
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1365596279298
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1365596279454
